method,drive_efficiency,drop_ratio,generation_to_suppression,low_density_growth_rate
FLAD,0.0,0.0,NAN,6.0
FLAD,0.0,0.015,NAN,6.0
FLAD,0.0,0.03,NAN,6.0
FLAD,0.0,0.045,NAN,6.0
FLAD,0.0,0.06,NAN,6.0
FLAD,0.0,0.075,NAN,6.0
FLAD,0.0,0.09,NAN,6.0
FLAD,0.0,0.105,NAN,6.0
FLAD,0.0,0.12,76.200,6.0
FLAD,0.0,0.135,35.050,6.0
FLAD,0.0,0.15,26.350,6.0
FLAD,0.0,0.165,22.100,6.0
FLAD,0.0,0.18,19.450,6.0
FLAD,0.0,0.195,17.500,6.0
FLAD,0.0,0.21,16.150,6.0
FLAD,0.0,0.225,15.100,6.0
FLAD,0.0,0.24,14.150,6.0
FLAD,0.0,0.255,13.650,6.0
FLAD,0.0,0.27,13.050,6.0
FLAD,0.0,0.285,12.550,6.0
FLAD,0.0,0.3,12.000,6.0
FLAD,0.05,0.0,NAN,6.0
FLAD,0.05,0.015,NAN,6.0
FLAD,0.05,0.03,NAN,6.0
FLAD,0.05,0.045,NAN,6.0
FLAD,0.05,0.06,NAN,6.0
FLAD,0.05,0.075,NAN,6.0
FLAD,0.05,0.09,NAN,6.0
FLAD,0.05,0.105,NAN,6.0
FLAD,0.05,0.12,39.300,6.0
FLAD,0.05,0.135,27.700,6.0
FLAD,0.05,0.15,22.350,6.0
FLAD,0.05,0.165,19.500,6.0
FLAD,0.05,0.18,17.700,6.0
FLAD,0.05,0.195,16.250,6.0
FLAD,0.05,0.21,14.850,6.0
FLAD,0.05,0.225,14.250,6.0
FLAD,0.05,0.24,13.400,6.0
FLAD,0.05,0.255,13.050,6.0
FLAD,0.05,0.27,12.400,6.0
FLAD,0.05,0.285,11.900,6.0
FLAD,0.05,0.3,11.600,6.0
FLAD,0.1,0.0,NAN,6.0
FLAD,0.1,0.015,NAN,6.0
FLAD,0.1,0.03,NAN,6.0
FLAD,0.1,0.045,NAN,6.0
FLAD,0.1,0.06,NAN,6.0
FLAD,0.1,0.075,NAN,6.0
FLAD,0.1,0.09,NAN,6.0
FLAD,0.1,0.105,48.600,6.0
FLAD,0.1,0.12,29.800,6.0
FLAD,0.1,0.135,23.500,6.0
FLAD,0.1,0.15,20.100,6.0
FLAD,0.1,0.165,17.900,6.0
FLAD,0.1,0.18,16.250,6.0
FLAD,0.1,0.195,15.100,6.0
FLAD,0.1,0.21,14.350,6.0
FLAD,0.1,0.225,13.500,6.0
FLAD,0.1,0.24,12.950,6.0
FLAD,0.1,0.255,12.100,6.0
FLAD,0.1,0.27,11.900,6.0
FLAD,0.1,0.285,11.500,6.0
FLAD,0.1,0.3,11.300,6.0
FLAD,0.15,0.0,NAN,6.0
FLAD,0.15,0.015,NAN,6.0
FLAD,0.15,0.03,NAN,6.0
FLAD,0.15,0.045,NAN,6.0
FLAD,0.15,0.06,NAN,6.0
FLAD,0.15,0.075,NAN,6.0
FLAD,0.15,0.09,82.700,6.0
FLAD,0.15,0.105,34.200,6.0
FLAD,0.15,0.12,25.250,6.0
FLAD,0.15,0.135,20.950,6.0
FLAD,0.15,0.15,18.200,6.0
FLAD,0.15,0.165,16.800,6.0
FLAD,0.15,0.18,15.250,6.0
FLAD,0.15,0.195,14.300,6.0
FLAD,0.15,0.21,13.700,6.0
FLAD,0.15,0.225,13.000,6.0
FLAD,0.15,0.24,12.300,6.0
FLAD,0.15,0.255,11.850,6.0
FLAD,0.15,0.27,11.300,6.0
FLAD,0.15,0.285,11.150,6.0
FLAD,0.15,0.3,10.850,6.0
FLAD,0.2,0.0,NAN,6.0
FLAD,0.2,0.015,NAN,6.0
FLAD,0.2,0.03,NAN,6.0
FLAD,0.2,0.045,NAN,6.0
FLAD,0.2,0.06,NAN,6.0
FLAD,0.2,0.075,NAN,6.0
FLAD,0.2,0.09,42.800,6.0
FLAD,0.2,0.105,27.900,6.0
FLAD,0.2,0.12,22.250,6.0
FLAD,0.2,0.135,19.100,6.0
FLAD,0.2,0.15,16.950,6.0
FLAD,0.2,0.165,15.550,6.0
FLAD,0.2,0.18,14.350,6.0
FLAD,0.2,0.195,13.650,6.0
FLAD,0.2,0.21,13.050,6.0
FLAD,0.2,0.225,12.250,6.0
FLAD,0.2,0.24,11.850,6.0
FLAD,0.2,0.255,11.250,6.0
FLAD,0.2,0.27,11.200,6.0
FLAD,0.2,0.285,10.750,6.0
FLAD,0.2,0.3,10.500,6.0
FLAD,0.25,0.0,NAN,6.0
FLAD,0.25,0.015,NAN,6.0
FLAD,0.25,0.03,NAN,6.0
FLAD,0.25,0.045,NAN,6.0
FLAD,0.25,0.06,NAN,6.0
FLAD,0.25,0.075,76.450,6.0
FLAD,0.25,0.09,32.400,6.0
FLAD,0.25,0.105,24.150,6.0
FLAD,0.25,0.12,19.900,6.0
FLAD,0.25,0.135,17.550,6.0
FLAD,0.25,0.15,15.850,6.0
FLAD,0.25,0.165,14.900,6.0
FLAD,0.25,0.18,13.750,6.0
FLAD,0.25,0.195,13.000,6.0
FLAD,0.25,0.21,12.700,6.0
FLAD,0.25,0.225,12.150,6.0
FLAD,0.25,0.24,11.450,6.0
FLAD,0.25,0.255,10.900,6.0
FLAD,0.25,0.27,10.800,6.0
FLAD,0.25,0.285,10.450,6.0
FLAD,0.25,0.3,10.050,6.0
FLAD,0.3,0.0,NAN,6.0
FLAD,0.3,0.015,NAN,6.0
FLAD,0.3,0.03,NAN,6.0
FLAD,0.3,0.045,NAN,6.0
FLAD,0.3,0.06,NAN,6.0
FLAD,0.3,0.075,43.300,6.0
FLAD,0.3,0.09,27.250,6.0
FLAD,0.3,0.105,21.750,6.0
FLAD,0.3,0.12,18.300,6.0
FLAD,0.3,0.135,16.450,6.0
FLAD,0.3,0.15,15.150,6.0
FLAD,0.3,0.165,13.950,6.0
FLAD,0.3,0.18,13.200,6.0
FLAD,0.3,0.195,12.500,6.0
FLAD,0.3,0.21,11.950,6.0
FLAD,0.3,0.225,11.350,6.0
FLAD,0.3,0.24,11.100,6.0
FLAD,0.3,0.255,11.000,6.0
FLAD,0.3,0.27,10.450,6.0
FLAD,0.3,0.285,10.100,6.0
FLAD,0.3,0.3,10.000,6.0
FLAD,0.35,0.0,NAN,6.0
FLAD,0.35,0.015,NAN,6.0
FLAD,0.35,0.03,NAN,6.0
FLAD,0.35,0.045,NAN,6.0
FLAD,0.35,0.06,95.800,6.0
FLAD,0.35,0.075,33.400,6.0
FLAD,0.35,0.09,24.200,6.0
FLAD,0.35,0.105,19.550,6.0
FLAD,0.35,0.12,17.100,6.0
FLAD,0.35,0.135,15.600,6.0
FLAD,0.35,0.15,14.250,6.0
FLAD,0.35,0.165,13.100,6.0
FLAD,0.35,0.18,12.550,6.0
FLAD,0.35,0.195,12.200,6.0
FLAD,0.35,0.21,11.500,6.0
FLAD,0.35,0.225,11.000,6.0
FLAD,0.35,0.24,10.800,6.0
FLAD,0.35,0.255,10.250,6.0
FLAD,0.35,0.27,10.150,6.0
FLAD,0.35,0.285,10.100,6.0
FLAD,0.35,0.3,9.550,6.0
FLAD,0.4,0.0,NAN,6.0
FLAD,0.4,0.015,NAN,6.0
FLAD,0.4,0.03,NAN,6.0
FLAD,0.4,0.045,NAN,6.0
FLAD,0.4,0.06,49.450,6.0
FLAD,0.4,0.075,28.200,6.0
FLAD,0.4,0.09,21.650,6.0
FLAD,0.4,0.105,18.500,6.0
FLAD,0.4,0.12,16.200,6.0
FLAD,0.4,0.135,15.000,6.0
FLAD,0.4,0.15,13.650,6.0
FLAD,0.4,0.165,12.950,6.0
FLAD,0.4,0.18,12.100,6.0
FLAD,0.4,0.195,11.450,6.0
FLAD,0.4,0.21,11.200,6.0
FLAD,0.4,0.225,10.650,6.0
FLAD,0.4,0.24,10.500,6.0
FLAD,0.4,0.255,10.150,6.0
FLAD,0.4,0.27,10.000,6.0
FLAD,0.4,0.285,9.650,6.0
FLAD,0.4,0.3,9.400,6.0
FLAD,0.45,0.0,NAN,6.0
FLAD,0.45,0.015,NAN,6.0
FLAD,0.45,0.03,NAN,6.0
FLAD,0.45,0.045,NAN,6.0
FLAD,0.45,0.06,37.250,6.0
FLAD,0.45,0.075,24.700,6.0
FLAD,0.45,0.09,20.100,6.0
FLAD,0.45,0.105,17.300,6.0
FLAD,0.45,0.12,15.450,6.0
FLAD,0.45,0.135,14.100,6.0
FLAD,0.45,0.15,13.350,6.0
FLAD,0.45,0.165,12.400,6.0
FLAD,0.45,0.18,11.950,6.0
FLAD,0.45,0.195,11.500,6.0
FLAD,0.45,0.21,10.750,6.0
FLAD,0.45,0.225,10.500,6.0
FLAD,0.45,0.24,10.200,6.0
FLAD,0.45,0.255,9.900,6.0
FLAD,0.45,0.27,9.750,6.0
FLAD,0.45,0.285,9.300,6.0
FLAD,0.45,0.3,9.200,6.0
FLAD,0.5,0.0,NAN,6.0
FLAD,0.5,0.015,NAN,6.0
FLAD,0.5,0.03,NAN,6.0
FLAD,0.5,0.045,80.150,6.0
FLAD,0.5,0.06,31.100,6.0
FLAD,0.5,0.075,22.400,6.0
FLAD,0.5,0.09,18.550,6.0
FLAD,0.5,0.105,16.300,6.0
FLAD,0.5,0.12,14.750,6.0
FLAD,0.5,0.135,13.700,6.0
FLAD,0.5,0.15,12.800,6.0
FLAD,0.5,0.165,12.150,6.0
FLAD,0.5,0.18,11.550,6.0
FLAD,0.5,0.195,10.950,6.0
FLAD,0.5,0.21,10.550,6.0
FLAD,0.5,0.225,10.150,6.0
FLAD,0.5,0.24,10.050,6.0
FLAD,0.5,0.255,9.950,6.0
FLAD,0.5,0.27,9.300,6.0
FLAD,0.5,0.285,9.300,6.0
FLAD,0.5,0.3,9.000,6.0
FLAD,0.55,0.0,NAN,6.0
FLAD,0.55,0.015,NAN,6.0
FLAD,0.55,0.03,NAN,6.0
FLAD,0.55,0.045,48.200,6.0
FLAD,0.55,0.06,27.100,6.0
FLAD,0.55,0.075,20.550,6.0
FLAD,0.55,0.09,17.500,6.0
FLAD,0.55,0.105,15.600,6.0
FLAD,0.55,0.12,14.100,6.0
FLAD,0.55,0.135,13.050,6.0
FLAD,0.55,0.15,12.500,6.0
FLAD,0.55,0.165,11.850,6.0
FLAD,0.55,0.18,11.150,6.0
FLAD,0.55,0.195,10.900,6.0
FLAD,0.55,0.21,10.350,6.0
FLAD,0.55,0.225,10.050,6.0
FLAD,0.55,0.24,9.800,6.0
FLAD,0.55,0.255,9.250,6.0
FLAD,0.55,0.27,9.250,6.0
FLAD,0.55,0.285,9.100,6.0
FLAD,0.55,0.3,9.000,6.0
FLAD,0.6,0.0,NAN,6.0
FLAD,0.6,0.015,NAN,6.0
FLAD,0.6,0.03,NAN,6.0
FLAD,0.6,0.045,37.700,6.0
FLAD,0.6,0.06,24.600,6.0
FLAD,0.6,0.075,19.450,6.0
FLAD,0.6,0.09,16.700,6.0
FLAD,0.6,0.105,14.850,6.0
FLAD,0.6,0.12,13.550,6.0
FLAD,0.6,0.135,12.800,6.0
FLAD,0.6,0.15,12.050,6.0
FLAD,0.6,0.165,11.300,6.0
FLAD,0.6,0.18,10.850,6.0
FLAD,0.6,0.195,10.450,6.0
FLAD,0.6,0.21,9.950,6.0
FLAD,0.6,0.225,10.000,6.0
FLAD,0.6,0.24,9.450,6.0
FLAD,0.6,0.255,9.300,6.0
FLAD,0.6,0.27,9.050,6.0
FLAD,0.6,0.285,9.000,6.0
FLAD,0.6,0.3,8.800,6.0
FLAD,0.65,0.0,NAN,6.0
FLAD,0.65,0.015,NAN,6.0
FLAD,0.65,0.03,NAN,6.0
FLAD,0.65,0.045,31.750,6.0
FLAD,0.65,0.06,22.400,6.0
FLAD,0.65,0.075,18.250,6.0
FLAD,0.65,0.09,15.950,6.0
FLAD,0.65,0.105,14.300,6.0
FLAD,0.65,0.12,13.200,6.0
FLAD,0.65,0.135,12.150,6.0
FLAD,0.65,0.15,11.850,6.0
FLAD,0.65,0.165,11.100,6.0
FLAD,0.65,0.18,10.700,6.0
FLAD,0.65,0.195,10.200,6.0
FLAD,0.65,0.21,9.850,6.0
FLAD,0.65,0.225,9.850,6.0
FLAD,0.65,0.24,9.600,6.0
FLAD,0.65,0.255,9.100,6.0
FLAD,0.65,0.27,8.950,6.0
FLAD,0.65,0.285,8.750,6.0
FLAD,0.65,0.3,8.650,6.0
FLAD,0.7,0.0,NAN,6.0
FLAD,0.7,0.015,NAN,6.0
FLAD,0.7,0.03,59.500,6.0
FLAD,0.7,0.045,28.250,6.0
FLAD,0.7,0.06,20.750,6.0
FLAD,0.7,0.075,17.350,6.0
FLAD,0.7,0.09,15.150,6.0
FLAD,0.7,0.105,13.750,6.0
FLAD,0.7,0.12,12.750,6.0
FLAD,0.7,0.135,12.000,6.0
FLAD,0.7,0.15,11.150,6.0
FLAD,0.7,0.165,10.900,6.0
FLAD,0.7,0.18,10.300,6.0
FLAD,0.7,0.195,10.050,6.0
FLAD,0.7,0.21,9.850,6.0
FLAD,0.7,0.225,9.350,6.0
FLAD,0.7,0.24,9.050,6.0
FLAD,0.7,0.255,9.050,6.0
FLAD,0.7,0.27,8.700,6.0
FLAD,0.7,0.285,8.550,6.0
FLAD,0.7,0.3,8.250,6.0
FLAD,0.75,0.0,NAN,6.0
FLAD,0.75,0.015,NAN,6.0
FLAD,0.75,0.03,45.300,6.0
FLAD,0.75,0.045,25.300,6.0
FLAD,0.75,0.06,19.500,6.0
FLAD,0.75,0.075,16.600,6.0
FLAD,0.75,0.09,14.650,6.0
FLAD,0.75,0.105,13.250,6.0
FLAD,0.75,0.12,12.350,6.0
FLAD,0.75,0.135,11.250,6.0
FLAD,0.75,0.15,11.000,6.0
FLAD,0.75,0.165,10.450,6.0
FLAD,0.75,0.18,10.000,6.0
FLAD,0.75,0.195,9.850,6.0
FLAD,0.75,0.21,9.500,6.0
FLAD,0.75,0.225,9.150,6.0
FLAD,0.75,0.24,9.000,6.0
FLAD,0.75,0.255,8.750,6.0
FLAD,0.75,0.27,8.700,6.0
FLAD,0.75,0.285,8.350,6.0
FLAD,0.75,0.3,8.150,6.0
FLAD,0.8,0.0,NAN,6.0
FLAD,0.8,0.015,NAN,6.0
FLAD,0.8,0.03,37.100,6.0
FLAD,0.8,0.045,23.350,6.0
FLAD,0.8,0.06,18.400,6.0
FLAD,0.8,0.075,15.850,6.0
FLAD,0.8,0.09,14.250,6.0
FLAD,0.8,0.105,12.850,6.0
FLAD,0.8,0.12,12.100,6.0
FLAD,0.8,0.135,11.150,6.0
FLAD,0.8,0.15,10.800,6.0
FLAD,0.8,0.165,10.350,6.0
FLAD,0.8,0.18,10.000,6.0
FLAD,0.8,0.195,9.700,6.0
FLAD,0.8,0.21,9.350,6.0
FLAD,0.8,0.225,9.050,6.0
FLAD,0.8,0.24,8.750,6.0
FLAD,0.8,0.255,8.500,6.0
FLAD,0.8,0.27,8.300,6.0
FLAD,0.8,0.285,8.250,6.0
FLAD,0.8,0.3,8.000,6.0
FLAD,0.85,0.0,NAN,6.0
FLAD,0.85,0.015,NAN,6.0
FLAD,0.85,0.03,32.200,6.0
FLAD,0.85,0.045,21.900,6.0
FLAD,0.85,0.06,17.150,6.0
FLAD,0.85,0.075,15.300,6.0
FLAD,0.85,0.09,13.400,6.0
FLAD,0.85,0.105,12.400,6.0
FLAD,0.85,0.12,11.550,6.0
FLAD,0.85,0.135,10.800,6.0
FLAD,0.85,0.15,10.450,6.0
FLAD,0.85,0.165,10.000,6.0
FLAD,0.85,0.18,9.750,6.0
FLAD,0.85,0.195,9.250,6.0
FLAD,0.85,0.21,9.100,6.0
FLAD,0.85,0.225,8.950,6.0
FLAD,0.85,0.24,8.600,6.0
FLAD,0.85,0.255,8.400,6.0
FLAD,0.85,0.27,8.200,6.0
FLAD,0.85,0.285,8.000,6.0
FLAD,0.85,0.3,8.000,6.0
FLAD,0.9,0.0,NAN,6.0
FLAD,0.9,0.015,80.800,6.0
FLAD,0.9,0.03,28.700,6.0
FLAD,0.9,0.045,20.600,6.0
FLAD,0.9,0.06,16.750,6.0
FLAD,0.9,0.075,14.650,6.0
FLAD,0.9,0.09,13.050,6.0
FLAD,0.9,0.105,12.050,6.0
FLAD,0.9,0.12,11.150,6.0
FLAD,0.9,0.135,10.950,6.0
FLAD,0.9,0.15,10.200,6.0
FLAD,0.9,0.165,9.700,6.0
FLAD,0.9,0.18,9.600,6.0
FLAD,0.9,0.195,9.050,6.0
FLAD,0.9,0.21,8.900,6.0
FLAD,0.9,0.225,8.700,6.0
FLAD,0.9,0.24,8.400,6.0
FLAD,0.9,0.255,8.250,6.0
FLAD,0.9,0.27,8.050,6.0
FLAD,0.9,0.285,8.000,6.0
FLAD,0.9,0.3,7.900,6.0
FLAD,0.95,0.0,NAN,6.0
FLAD,0.95,0.015,57.600,6.0
FLAD,0.95,0.03,26.550,6.0
FLAD,0.95,0.045,19.250,6.0
FLAD,0.95,0.06,16.150,6.0
FLAD,0.95,0.075,14.000,6.0
FLAD,0.95,0.09,12.650,6.0
FLAD,0.95,0.105,11.800,6.0
FLAD,0.95,0.12,11.050,6.0
FLAD,0.95,0.135,10.350,6.0
FLAD,0.95,0.15,9.950,6.0
FLAD,0.95,0.165,9.350,6.0
FLAD,0.95,0.18,9.150,6.0
FLAD,0.95,0.195,9.000,6.0
FLAD,0.95,0.21,8.650,6.0
FLAD,0.95,0.225,8.350,6.0
FLAD,0.95,0.24,8.050,6.0
FLAD,0.95,0.255,8.100,6.0
FLAD,0.95,0.27,7.950,6.0
FLAD,0.95,0.285,7.750,6.0
FLAD,0.95,0.3,7.700,6.0
FLAD,1.0,0.0,NAN,6.0
FLAD,1.0,0.015,46.900,6.0
FLAD,1.0,0.03,24.250,6.0
FLAD,1.0,0.045,18.300,6.0
FLAD,1.0,0.06,15.100,6.0
FLAD,1.0,0.075,13.250,6.0
FLAD,1.0,0.09,12.200,6.0
FLAD,1.0,0.105,11.050,6.0
FLAD,1.0,0.12,10.650,6.0
FLAD,1.0,0.135,9.950,6.0
FLAD,1.0,0.15,9.500,6.0
FLAD,1.0,0.165,9.150,6.0
FLAD,1.0,0.18,9.000,6.0
FLAD,1.0,0.195,8.450,6.0
FLAD,1.0,0.21,8.200,6.0
FLAD,1.0,0.225,8.000,6.0
FLAD,1.0,0.24,7.900,6.0
FLAD,1.0,0.255,7.900,6.0
FLAD,1.0,0.27,7.600,6.0
FLAD,1.0,0.285,7.200,6.0
FLAD,1.0,0.3,7.400,6.0
