method,drive_efficiency,drop_ratio,suppression_rate,low_density_growth_rate
FLAD,0.0,0.0,0,6.0
FLAD,0.0,0.015,0,6.0
FLAD,0.0,0.03,0,6.0
FLAD,0.0,0.045,0,6.0
FLAD,0.0,0.06,0,6.0
FLAD,0.0,0.075,0,6.0
FLAD,0.0,0.09,0,6.0
FLAD,0.0,0.105,0,6.0
FLAD,0.0,0.12,1.00,6.0
FLAD,0.0,0.135,1.00,6.0
FLAD,0.0,0.15,1.00,6.0
FLAD,0.0,0.165,1.00,6.0
FLAD,0.0,0.18,1.00,6.0
FLAD,0.0,0.195,1.00,6.0
FLAD,0.0,0.21,1.00,6.0
FLAD,0.0,0.225,1.00,6.0
FLAD,0.0,0.24,1.00,6.0
FLAD,0.0,0.255,1.00,6.0
FLAD,0.0,0.27,1.00,6.0
FLAD,0.0,0.285,1.00,6.0
FLAD,0.0,0.3,1.00,6.0
FLAD,0.05,0.0,0,6.0
FLAD,0.05,0.015,0,6.0
FLAD,0.05,0.03,0,6.0
FLAD,0.05,0.045,0,6.0
FLAD,0.05,0.06,0,6.0
FLAD,0.05,0.075,0,6.0
FLAD,0.05,0.09,0,6.0
FLAD,0.05,0.105,0,6.0
FLAD,0.05,0.12,1.00,6.0
FLAD,0.05,0.135,1.00,6.0
FLAD,0.05,0.15,1.00,6.0
FLAD,0.05,0.165,1.00,6.0
FLAD,0.05,0.18,1.00,6.0
FLAD,0.05,0.195,1.00,6.0
FLAD,0.05,0.21,1.00,6.0
FLAD,0.05,0.225,1.00,6.0
FLAD,0.05,0.24,1.00,6.0
FLAD,0.05,0.255,1.00,6.0
FLAD,0.05,0.27,1.00,6.0
FLAD,0.05,0.285,1.00,6.0
FLAD,0.05,0.3,1.00,6.0
FLAD,0.1,0.0,0,6.0
FLAD,0.1,0.015,0,6.0
FLAD,0.1,0.03,0,6.0
FLAD,0.1,0.045,0,6.0
FLAD,0.1,0.06,0,6.0
FLAD,0.1,0.075,0,6.0
FLAD,0.1,0.09,0,6.0
FLAD,0.1,0.105,1.00,6.0
FLAD,0.1,0.12,1.00,6.0
FLAD,0.1,0.135,1.00,6.0
FLAD,0.1,0.15,1.00,6.0
FLAD,0.1,0.165,1.00,6.0
FLAD,0.1,0.18,1.00,6.0
FLAD,0.1,0.195,1.00,6.0
FLAD,0.1,0.21,1.00,6.0
FLAD,0.1,0.225,1.00,6.0
FLAD,0.1,0.24,1.00,6.0
FLAD,0.1,0.255,1.00,6.0
FLAD,0.1,0.27,1.00,6.0
FLAD,0.1,0.285,1.00,6.0
FLAD,0.1,0.3,1.00,6.0
FLAD,0.15,0.0,0,6.0
FLAD,0.15,0.015,0,6.0
FLAD,0.15,0.03,0,6.0
FLAD,0.15,0.045,0,6.0
FLAD,0.15,0.06,0,6.0
FLAD,0.15,0.075,0,6.0
FLAD,0.15,0.09,1.00,6.0
FLAD,0.15,0.105,1.00,6.0
FLAD,0.15,0.12,1.00,6.0
FLAD,0.15,0.135,1.00,6.0
FLAD,0.15,0.15,1.00,6.0
FLAD,0.15,0.165,1.00,6.0
FLAD,0.15,0.18,1.00,6.0
FLAD,0.15,0.195,1.00,6.0
FLAD,0.15,0.21,1.00,6.0
FLAD,0.15,0.225,1.00,6.0
FLAD,0.15,0.24,1.00,6.0
FLAD,0.15,0.255,1.00,6.0
FLAD,0.15,0.27,1.00,6.0
FLAD,0.15,0.285,1.00,6.0
FLAD,0.15,0.3,1.00,6.0
FLAD,0.2,0.0,0,6.0
FLAD,0.2,0.015,0,6.0
FLAD,0.2,0.03,0,6.0
FLAD,0.2,0.045,0,6.0
FLAD,0.2,0.06,0,6.0
FLAD,0.2,0.075,0,6.0
FLAD,0.2,0.09,1.00,6.0
FLAD,0.2,0.105,1.00,6.0
FLAD,0.2,0.12,1.00,6.0
FLAD,0.2,0.135,1.00,6.0
FLAD,0.2,0.15,1.00,6.0
FLAD,0.2,0.165,1.00,6.0
FLAD,0.2,0.18,1.00,6.0
FLAD,0.2,0.195,1.00,6.0
FLAD,0.2,0.21,1.00,6.0
FLAD,0.2,0.225,1.00,6.0
FLAD,0.2,0.24,1.00,6.0
FLAD,0.2,0.255,1.00,6.0
FLAD,0.2,0.27,1.00,6.0
FLAD,0.2,0.285,1.00,6.0
FLAD,0.2,0.3,1.00,6.0
FLAD,0.25,0.0,0,6.0
FLAD,0.25,0.015,0,6.0
FLAD,0.25,0.03,0,6.0
FLAD,0.25,0.045,0,6.0
FLAD,0.25,0.06,0,6.0
FLAD,0.25,0.075,1.00,6.0
FLAD,0.25,0.09,1.00,6.0
FLAD,0.25,0.105,1.00,6.0
FLAD,0.25,0.12,1.00,6.0
FLAD,0.25,0.135,1.00,6.0
FLAD,0.25,0.15,1.00,6.0
FLAD,0.25,0.165,1.00,6.0
FLAD,0.25,0.18,1.00,6.0
FLAD,0.25,0.195,1.00,6.0
FLAD,0.25,0.21,1.00,6.0
FLAD,0.25,0.225,1.00,6.0
FLAD,0.25,0.24,1.00,6.0
FLAD,0.25,0.255,1.00,6.0
FLAD,0.25,0.27,1.00,6.0
FLAD,0.25,0.285,1.00,6.0
FLAD,0.25,0.3,1.00,6.0
FLAD,0.3,0.0,0,6.0
FLAD,0.3,0.015,0,6.0
FLAD,0.3,0.03,0,6.0
FLAD,0.3,0.045,0,6.0
FLAD,0.3,0.06,0,6.0
FLAD,0.3,0.075,1.00,6.0
FLAD,0.3,0.09,1.00,6.0
FLAD,0.3,0.105,1.00,6.0
FLAD,0.3,0.12,1.00,6.0
FLAD,0.3,0.135,1.00,6.0
FLAD,0.3,0.15,1.00,6.0
FLAD,0.3,0.165,1.00,6.0
FLAD,0.3,0.18,1.00,6.0
FLAD,0.3,0.195,1.00,6.0
FLAD,0.3,0.21,1.00,6.0
FLAD,0.3,0.225,1.00,6.0
FLAD,0.3,0.24,1.00,6.0
FLAD,0.3,0.255,1.00,6.0
FLAD,0.3,0.27,1.00,6.0
FLAD,0.3,0.285,1.00,6.0
FLAD,0.3,0.3,1.00,6.0
FLAD,0.35,0.0,0,6.0
FLAD,0.35,0.015,0,6.0
FLAD,0.35,0.03,0,6.0
FLAD,0.35,0.045,0,6.0
FLAD,0.35,0.06,.25,6.0
FLAD,0.35,0.075,1.00,6.0
FLAD,0.35,0.09,1.00,6.0
FLAD,0.35,0.105,1.00,6.0
FLAD,0.35,0.12,1.00,6.0
FLAD,0.35,0.135,1.00,6.0
FLAD,0.35,0.15,1.00,6.0
FLAD,0.35,0.165,1.00,6.0
FLAD,0.35,0.18,1.00,6.0
FLAD,0.35,0.195,1.00,6.0
FLAD,0.35,0.21,1.00,6.0
FLAD,0.35,0.225,1.00,6.0
FLAD,0.35,0.24,1.00,6.0
FLAD,0.35,0.255,1.00,6.0
FLAD,0.35,0.27,1.00,6.0
FLAD,0.35,0.285,1.00,6.0
FLAD,0.35,0.3,1.00,6.0
FLAD,0.4,0.0,0,6.0
FLAD,0.4,0.015,0,6.0
FLAD,0.4,0.03,0,6.0
FLAD,0.4,0.045,0,6.0
FLAD,0.4,0.06,1.00,6.0
FLAD,0.4,0.075,1.00,6.0
FLAD,0.4,0.09,1.00,6.0
FLAD,0.4,0.105,1.00,6.0
FLAD,0.4,0.12,1.00,6.0
FLAD,0.4,0.135,1.00,6.0
FLAD,0.4,0.15,1.00,6.0
FLAD,0.4,0.165,1.00,6.0
FLAD,0.4,0.18,1.00,6.0
FLAD,0.4,0.195,1.00,6.0
FLAD,0.4,0.21,1.00,6.0
FLAD,0.4,0.225,1.00,6.0
FLAD,0.4,0.24,1.00,6.0
FLAD,0.4,0.255,1.00,6.0
FLAD,0.4,0.27,1.00,6.0
FLAD,0.4,0.285,1.00,6.0
FLAD,0.4,0.3,1.00,6.0
FLAD,0.45,0.0,0,6.0
FLAD,0.45,0.015,0,6.0
FLAD,0.45,0.03,0,6.0
FLAD,0.45,0.045,0,6.0
FLAD,0.45,0.06,1.00,6.0
FLAD,0.45,0.075,1.00,6.0
FLAD,0.45,0.09,1.00,6.0
FLAD,0.45,0.105,1.00,6.0
FLAD,0.45,0.12,1.00,6.0
FLAD,0.45,0.135,1.00,6.0
FLAD,0.45,0.15,1.00,6.0
FLAD,0.45,0.165,1.00,6.0
FLAD,0.45,0.18,1.00,6.0
FLAD,0.45,0.195,1.00,6.0
FLAD,0.45,0.21,1.00,6.0
FLAD,0.45,0.225,1.00,6.0
FLAD,0.45,0.24,1.00,6.0
FLAD,0.45,0.255,1.00,6.0
FLAD,0.45,0.27,1.00,6.0
FLAD,0.45,0.285,1.00,6.0
FLAD,0.45,0.3,1.00,6.0
FLAD,0.5,0.0,0,6.0
FLAD,0.5,0.015,0,6.0
FLAD,0.5,0.03,0,6.0
FLAD,0.5,0.045,1.00,6.0
FLAD,0.5,0.06,1.00,6.0
FLAD,0.5,0.075,1.00,6.0
FLAD,0.5,0.09,1.00,6.0
FLAD,0.5,0.105,1.00,6.0
FLAD,0.5,0.12,1.00,6.0
FLAD,0.5,0.135,1.00,6.0
FLAD,0.5,0.15,1.00,6.0
FLAD,0.5,0.165,1.00,6.0
FLAD,0.5,0.18,1.00,6.0
FLAD,0.5,0.195,1.00,6.0
FLAD,0.5,0.21,1.00,6.0
FLAD,0.5,0.225,1.00,6.0
FLAD,0.5,0.24,1.00,6.0
FLAD,0.5,0.255,1.00,6.0
FLAD,0.5,0.27,1.00,6.0
FLAD,0.5,0.285,1.00,6.0
FLAD,0.5,0.3,1.00,6.0
FLAD,0.55,0.0,0,6.0
FLAD,0.55,0.015,0,6.0
FLAD,0.55,0.03,0,6.0
FLAD,0.55,0.045,1.00,6.0
FLAD,0.55,0.06,1.00,6.0
FLAD,0.55,0.075,1.00,6.0
FLAD,0.55,0.09,1.00,6.0
FLAD,0.55,0.105,1.00,6.0
FLAD,0.55,0.12,1.00,6.0
FLAD,0.55,0.135,1.00,6.0
FLAD,0.55,0.15,1.00,6.0
FLAD,0.55,0.165,1.00,6.0
FLAD,0.55,0.18,1.00,6.0
FLAD,0.55,0.195,1.00,6.0
FLAD,0.55,0.21,1.00,6.0
FLAD,0.55,0.225,1.00,6.0
FLAD,0.55,0.24,1.00,6.0
FLAD,0.55,0.255,1.00,6.0
FLAD,0.55,0.27,1.00,6.0
FLAD,0.55,0.285,1.00,6.0
FLAD,0.55,0.3,1.00,6.0
FLAD,0.6,0.0,0,6.0
FLAD,0.6,0.015,0,6.0
FLAD,0.6,0.03,0,6.0
FLAD,0.6,0.045,1.00,6.0
FLAD,0.6,0.06,1.00,6.0
FLAD,0.6,0.075,1.00,6.0
FLAD,0.6,0.09,1.00,6.0
FLAD,0.6,0.105,1.00,6.0
FLAD,0.6,0.12,1.00,6.0
FLAD,0.6,0.135,1.00,6.0
FLAD,0.6,0.15,1.00,6.0
FLAD,0.6,0.165,1.00,6.0
FLAD,0.6,0.18,1.00,6.0
FLAD,0.6,0.195,1.00,6.0
FLAD,0.6,0.21,1.00,6.0
FLAD,0.6,0.225,1.00,6.0
FLAD,0.6,0.24,1.00,6.0
FLAD,0.6,0.255,1.00,6.0
FLAD,0.6,0.27,1.00,6.0
FLAD,0.6,0.285,1.00,6.0
FLAD,0.6,0.3,1.00,6.0
FLAD,0.65,0.0,0,6.0
FLAD,0.65,0.015,0,6.0
FLAD,0.65,0.03,0,6.0
FLAD,0.65,0.045,1.00,6.0
FLAD,0.65,0.06,1.00,6.0
FLAD,0.65,0.075,1.00,6.0
FLAD,0.65,0.09,1.00,6.0
FLAD,0.65,0.105,1.00,6.0
FLAD,0.65,0.12,1.00,6.0
FLAD,0.65,0.135,1.00,6.0
FLAD,0.65,0.15,1.00,6.0
FLAD,0.65,0.165,1.00,6.0
FLAD,0.65,0.18,1.00,6.0
FLAD,0.65,0.195,1.00,6.0
FLAD,0.65,0.21,1.00,6.0
FLAD,0.65,0.225,1.00,6.0
FLAD,0.65,0.24,1.00,6.0
FLAD,0.65,0.255,1.00,6.0
FLAD,0.65,0.27,1.00,6.0
FLAD,0.65,0.285,1.00,6.0
FLAD,0.65,0.3,1.00,6.0
FLAD,0.7,0.0,0,6.0
FLAD,0.7,0.015,0,6.0
FLAD,0.7,0.03,1.00,6.0
FLAD,0.7,0.045,1.00,6.0
FLAD,0.7,0.06,1.00,6.0
FLAD,0.7,0.075,1.00,6.0
FLAD,0.7,0.09,1.00,6.0
FLAD,0.7,0.105,1.00,6.0
FLAD,0.7,0.12,1.00,6.0
FLAD,0.7,0.135,1.00,6.0
FLAD,0.7,0.15,1.00,6.0
FLAD,0.7,0.165,1.00,6.0
FLAD,0.7,0.18,1.00,6.0
FLAD,0.7,0.195,1.00,6.0
FLAD,0.7,0.21,1.00,6.0
FLAD,0.7,0.225,1.00,6.0
FLAD,0.7,0.24,1.00,6.0
FLAD,0.7,0.255,1.00,6.0
FLAD,0.7,0.27,1.00,6.0
FLAD,0.7,0.285,1.00,6.0
FLAD,0.7,0.3,1.00,6.0
FLAD,0.75,0.0,0,6.0
FLAD,0.75,0.015,0,6.0
FLAD,0.75,0.03,1.00,6.0
FLAD,0.75,0.045,1.00,6.0
FLAD,0.75,0.06,1.00,6.0
FLAD,0.75,0.075,1.00,6.0
FLAD,0.75,0.09,1.00,6.0
FLAD,0.75,0.105,1.00,6.0
FLAD,0.75,0.12,1.00,6.0
FLAD,0.75,0.135,1.00,6.0
FLAD,0.75,0.15,1.00,6.0
FLAD,0.75,0.165,1.00,6.0
FLAD,0.75,0.18,1.00,6.0
FLAD,0.75,0.195,1.00,6.0
FLAD,0.75,0.21,1.00,6.0
FLAD,0.75,0.225,1.00,6.0
FLAD,0.75,0.24,1.00,6.0
FLAD,0.75,0.255,1.00,6.0
FLAD,0.75,0.27,1.00,6.0
FLAD,0.75,0.285,1.00,6.0
FLAD,0.75,0.3,1.00,6.0
FLAD,0.8,0.0,0,6.0
FLAD,0.8,0.015,0,6.0
FLAD,0.8,0.03,1.00,6.0
FLAD,0.8,0.045,1.00,6.0
FLAD,0.8,0.06,1.00,6.0
FLAD,0.8,0.075,1.00,6.0
FLAD,0.8,0.09,1.00,6.0
FLAD,0.8,0.105,1.00,6.0
FLAD,0.8,0.12,1.00,6.0
FLAD,0.8,0.135,1.00,6.0
FLAD,0.8,0.15,1.00,6.0
FLAD,0.8,0.165,1.00,6.0
FLAD,0.8,0.18,1.00,6.0
FLAD,0.8,0.195,1.00,6.0
FLAD,0.8,0.21,1.00,6.0
FLAD,0.8,0.225,1.00,6.0
FLAD,0.8,0.24,1.00,6.0
FLAD,0.8,0.255,1.00,6.0
FLAD,0.8,0.27,1.00,6.0
FLAD,0.8,0.285,1.00,6.0
FLAD,0.8,0.3,1.00,6.0
FLAD,0.85,0.0,0,6.0
FLAD,0.85,0.015,0,6.0
FLAD,0.85,0.03,1.00,6.0
FLAD,0.85,0.045,1.00,6.0
FLAD,0.85,0.06,1.00,6.0
FLAD,0.85,0.075,1.00,6.0
FLAD,0.85,0.09,1.00,6.0
FLAD,0.85,0.105,1.00,6.0
FLAD,0.85,0.12,1.00,6.0
FLAD,0.85,0.135,1.00,6.0
FLAD,0.85,0.15,1.00,6.0
FLAD,0.85,0.165,1.00,6.0
FLAD,0.85,0.18,1.00,6.0
FLAD,0.85,0.195,1.00,6.0
FLAD,0.85,0.21,1.00,6.0
FLAD,0.85,0.225,1.00,6.0
FLAD,0.85,0.24,1.00,6.0
FLAD,0.85,0.255,1.00,6.0
FLAD,0.85,0.27,1.00,6.0
FLAD,0.85,0.285,1.00,6.0
FLAD,0.85,0.3,1.00,6.0
FLAD,0.9,0.0,0,6.0
FLAD,0.9,0.015,1.00,6.0
FLAD,0.9,0.03,1.00,6.0
FLAD,0.9,0.045,1.00,6.0
FLAD,0.9,0.06,1.00,6.0
FLAD,0.9,0.075,1.00,6.0
FLAD,0.9,0.09,1.00,6.0
FLAD,0.9,0.105,1.00,6.0
FLAD,0.9,0.12,1.00,6.0
FLAD,0.9,0.135,1.00,6.0
FLAD,0.9,0.15,1.00,6.0
FLAD,0.9,0.165,1.00,6.0
FLAD,0.9,0.18,1.00,6.0
FLAD,0.9,0.195,1.00,6.0
FLAD,0.9,0.21,1.00,6.0
FLAD,0.9,0.225,1.00,6.0
FLAD,0.9,0.24,1.00,6.0
FLAD,0.9,0.255,1.00,6.0
FLAD,0.9,0.27,1.00,6.0
FLAD,0.9,0.285,1.00,6.0
FLAD,0.9,0.3,1.00,6.0
FLAD,0.95,0.0,0,6.0
FLAD,0.95,0.015,1.00,6.0
FLAD,0.95,0.03,1.00,6.0
FLAD,0.95,0.045,1.00,6.0
FLAD,0.95,0.06,1.00,6.0
FLAD,0.95,0.075,1.00,6.0
FLAD,0.95,0.09,1.00,6.0
FLAD,0.95,0.105,1.00,6.0
FLAD,0.95,0.12,1.00,6.0
FLAD,0.95,0.135,1.00,6.0
FLAD,0.95,0.15,1.00,6.0
FLAD,0.95,0.165,1.00,6.0
FLAD,0.95,0.18,1.00,6.0
FLAD,0.95,0.195,1.00,6.0
FLAD,0.95,0.21,1.00,6.0
FLAD,0.95,0.225,1.00,6.0
FLAD,0.95,0.24,1.00,6.0
FLAD,0.95,0.255,1.00,6.0
FLAD,0.95,0.27,1.00,6.0
FLAD,0.95,0.285,1.00,6.0
FLAD,0.95,0.3,1.00,6.0
FLAD,1.0,0.0,0,6.0
FLAD,1.0,0.015,1.00,6.0
FLAD,1.0,0.03,1.00,6.0
FLAD,1.0,0.045,1.00,6.0
FLAD,1.0,0.06,1.00,6.0
FLAD,1.0,0.075,1.00,6.0
FLAD,1.0,0.09,1.00,6.0
FLAD,1.0,0.105,1.00,6.0
FLAD,1.0,0.12,1.00,6.0
FLAD,1.0,0.135,1.00,6.0
FLAD,1.0,0.15,1.00,6.0
FLAD,1.0,0.165,1.00,6.0
FLAD,1.0,0.18,1.00,6.0
FLAD,1.0,0.195,1.00,6.0
FLAD,1.0,0.21,1.00,6.0
FLAD,1.0,0.225,1.00,6.0
FLAD,1.0,0.24,1.00,6.0
FLAD,1.0,0.255,1.00,6.0
FLAD,1.0,0.27,1.00,6.0
FLAD,1.0,0.285,1.00,6.0
FLAD,1.0,0.3,1.00,6.0
