drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,generation_to_suppression
1,0.0,0.0,10.0,linear,NAN
1,0.0,0.0,11.0,linear,NAN
1,0.0,0.0,12.0,linear,NAN
1,0.0,0.0,13.0,linear,NAN
1,0.0,0.0,14.0,linear,NAN
1,0.0,0.0,15.0,linear,NAN
1,0.0,0.0,16.0,linear,NAN
1,0.0,0.0,2.0,linear,NAN
1,0.0,0.0,3.0,linear,NAN
1,0.0,0.0,4.0,linear,NAN
1,0.0,0.0,5.0,linear,NAN
1,0.0,0.0,6.0,linear,NAN
1,0.0,0.0,7.0,linear,NAN
1,0.0,0.0,8.0,linear,NAN
1,0.0,0.0,9.0,linear,NAN
1,12.0,0.0,10.0,linear,NAN
1,12.0,0.0,11.0,linear,NAN
1,12.0,0.0,12.0,linear,NAN
1,12.0,0.0,13.0,linear,NAN
1,12.0,0.0,14.0,linear,NAN
1,12.0,0.0,15.0,linear,NAN
1,12.0,0.0,16.0,linear,NAN
1,12.0,0.0,2.0,linear,24.250
1,12.0,0.0,3.0,linear,27.400
1,12.0,0.0,4.0,linear,31.450
1,12.0,0.0,5.0,linear,39.850
1,12.0,0.0,6.0,linear,65.950
1,12.0,0.0,7.0,linear,NAN
1,12.0,0.0,8.0,linear,NAN
1,12.0,0.0,9.0,linear,NAN
1,15.0,0.0,10.0,linear,NAN
1,15.0,0.0,11.0,linear,NAN
1,15.0,0.0,12.0,linear,NAN
1,15.0,0.0,13.0,linear,NAN
1,15.0,0.0,14.0,linear,NAN
1,15.0,0.0,15.0,linear,NAN
1,15.0,0.0,16.0,linear,NAN
1,15.0,0.0,2.0,linear,22.800
1,15.0,0.0,3.0,linear,25.350
1,15.0,0.0,4.0,linear,29.100
1,15.0,0.0,5.0,linear,34.400
1,15.0,0.0,6.0,linear,42.850
1,15.0,0.0,7.0,linear,85.300
1,15.0,0.0,8.0,linear,NAN
1,15.0,0.0,9.0,linear,NAN
1,18.0,0.0,10.0,linear,NAN
1,18.0,0.0,11.0,linear,NAN
1,18.0,0.0,12.0,linear,NAN
1,18.0,0.0,13.0,linear,NAN
1,18.0,0.0,14.0,linear,NAN
1,18.0,0.0,15.0,linear,NAN
1,18.0,0.0,16.0,linear,NAN
1,18.0,0.0,2.0,linear,23.000
1,18.0,0.0,3.0,linear,24.700
1,18.0,0.0,4.0,linear,27.250
1,18.0,0.0,5.0,linear,30.650
1,18.0,0.0,6.0,linear,36.700
1,18.0,0.0,7.0,linear,47.550
1,18.0,0.0,8.0,linear,186.300
1,18.0,0.0,9.0,linear,NAN
1,21.0,0.0,10.0,linear,NAN
1,21.0,0.0,11.0,linear,NAN
1,21.0,0.0,12.0,linear,NAN
1,21.0,0.0,13.0,linear,NAN
1,21.0,0.0,14.0,linear,NAN
1,21.0,0.0,15.0,linear,NAN
1,21.0,0.0,16.0,linear,NAN
1,21.0,0.0,2.0,linear,22.050
1,21.0,0.0,3.0,linear,24.500
1,21.0,0.0,4.0,linear,26.300
1,21.0,0.0,5.0,linear,29.450
1,21.0,0.0,6.0,linear,33.150
1,21.0,0.0,7.0,linear,39.550
1,21.0,0.0,8.0,linear,54.700
1,21.0,0.0,9.0,linear,NAN
1,24.0,0.0,10.0,linear,NAN
1,24.0,0.0,11.0,linear,NAN
1,24.0,0.0,12.0,linear,NAN
1,24.0,0.0,13.0,linear,NAN
1,24.0,0.0,14.0,linear,NAN
1,24.0,0.0,15.0,linear,NAN
1,24.0,0.0,16.0,linear,NAN
1,24.0,0.0,2.0,linear,21.400
1,24.0,0.0,3.0,linear,23.500
1,24.0,0.0,4.0,linear,25.500
1,24.0,0.0,5.0,linear,28.300
1,24.0,0.0,6.0,linear,31.400
1,24.0,0.0,7.0,linear,35.650
1,24.0,0.0,8.0,linear,43.000
1,24.0,0.0,9.0,linear,66.600
1,27.0,0.0,10.0,linear,98.050
1,27.0,0.0,11.0,linear,NAN
1,27.0,0.0,12.0,linear,NAN
1,27.0,0.0,13.0,linear,NAN
1,27.0,0.0,14.0,linear,NAN
1,27.0,0.0,15.0,linear,NAN
1,27.0,0.0,16.0,linear,NAN
1,27.0,0.0,2.0,linear,21.050
1,27.0,0.0,3.0,linear,23.000
1,27.0,0.0,4.0,linear,24.850
1,27.0,0.0,5.0,linear,27.400
1,27.0,0.0,6.0,linear,29.800
1,27.0,0.0,7.0,linear,33.150
1,27.0,0.0,8.0,linear,38.750
1,27.0,0.0,9.0,linear,48.750
1,3.0,0.0,10.0,linear,NAN
1,3.0,0.0,11.0,linear,NAN
1,3.0,0.0,12.0,linear,NAN
1,3.0,0.0,13.0,linear,NAN
1,3.0,0.0,14.0,linear,NAN
1,3.0,0.0,15.0,linear,NAN
1,3.0,0.0,16.0,linear,NAN
1,3.0,0.0,2.0,linear,35.800
1,3.0,0.0,3.0,linear,93.000
1,3.0,0.0,4.0,linear,NAN
1,3.0,0.0,5.0,linear,NAN
1,3.0,0.0,6.0,linear,NAN
1,3.0,0.0,7.0,linear,NAN
1,3.0,0.0,8.0,linear,NAN
1,3.0,0.0,9.0,linear,NAN
1,30.0,0.0,10.0,linear,56.200
1,30.0,0.0,11.0,linear,NAN
1,30.0,0.0,12.0,linear,NAN
1,30.0,0.0,13.0,linear,NAN
1,30.0,0.0,14.0,linear,NAN
1,30.0,0.0,15.0,linear,NAN
1,30.0,0.0,16.0,linear,NAN
1,30.0,0.0,2.0,linear,21.350
1,30.0,0.0,3.0,linear,22.850
1,30.0,0.0,4.0,linear,24.650
1,30.0,0.0,5.0,linear,26.150
1,30.0,0.0,6.0,linear,28.550
1,30.0,0.0,7.0,linear,31.400
1,30.0,0.0,8.0,linear,35.750
1,30.0,0.0,9.0,linear,41.900
1,33.0,0.0,10.0,linear,46.250
1,33.0,0.0,11.0,linear,71.700
1,33.0,0.0,12.0,linear,NAN
1,33.0,0.0,13.0,linear,NAN
1,33.0,0.0,14.0,linear,NAN
1,33.0,0.0,15.0,linear,NAN
1,33.0,0.0,16.0,linear,NAN
1,33.0,0.0,2.0,linear,20.500
1,33.0,0.0,3.0,linear,22.300
1,33.0,0.0,4.0,linear,24.150
1,33.0,0.0,5.0,linear,26.300
1,33.0,0.0,6.0,linear,27.950
1,33.0,0.0,7.0,linear,30.200
1,33.0,0.0,8.0,linear,33.400
1,33.0,0.0,9.0,linear,37.750
1,36.0,0.0,10.0,linear,41.350
1,36.0,0.0,11.0,linear,53.300
1,36.0,0.0,12.0,linear,111.300
1,36.0,0.0,13.0,linear,NAN
1,36.0,0.0,14.0,linear,NAN
1,36.0,0.0,15.0,linear,NAN
1,36.0,0.0,16.0,linear,NAN
1,36.0,0.0,2.0,linear,20.250
1,36.0,0.0,3.0,linear,21.700
1,36.0,0.0,4.0,linear,23.500
1,36.0,0.0,5.0,linear,25.600
1,36.0,0.0,6.0,linear,27.350
1,36.0,0.0,7.0,linear,29.650
1,36.0,0.0,8.0,linear,31.850
1,36.0,0.0,9.0,linear,35.600
1,39.0,0.0,10.0,linear,38.550
1,39.0,0.0,11.0,linear,46.650
1,39.0,0.0,12.0,linear,64.100
1,39.0,0.0,13.0,linear,NAN
1,39.0,0.0,14.0,linear,NAN
1,39.0,0.0,15.0,linear,NAN
1,39.0,0.0,16.0,linear,NAN
1,39.0,0.0,2.0,linear,20.800
1,39.0,0.0,3.0,linear,21.950
1,39.0,0.0,4.0,linear,23.500
1,39.0,0.0,5.0,linear,24.950
1,39.0,0.0,6.0,linear,26.350
1,39.0,0.0,7.0,linear,29.100
1,39.0,0.0,8.0,linear,30.800
1,39.0,0.0,9.0,linear,34.100
1,42.0,0.0,10.0,linear,36.150
1,42.0,0.0,11.0,linear,41.400
1,42.0,0.0,12.0,linear,51.600
1,42.0,0.0,13.0,linear,83.400
1,42.0,0.0,14.0,linear,NAN
1,42.0,0.0,15.0,linear,NAN
1,42.0,0.0,16.0,linear,NAN
1,42.0,0.0,2.0,linear,20.100
1,42.0,0.0,3.0,linear,21.900
1,42.0,0.0,4.0,linear,23.200
1,42.0,0.0,5.0,linear,25.050
1,42.0,0.0,6.0,linear,26.150
1,42.0,0.0,7.0,linear,28.100
1,42.0,0.0,8.0,linear,29.900
1,42.0,0.0,9.0,linear,32.600
1,45.0,0.0,10.0,linear,34.850
1,45.0,0.0,11.0,linear,38.850
1,45.0,0.0,12.0,linear,45.950
1,45.0,0.0,13.0,linear,60.350
1,45.0,0.0,14.0,linear,172.400
1,45.0,0.0,15.0,linear,NAN
1,45.0,0.0,16.0,linear,NAN
1,45.0,0.0,2.0,linear,20.150
1,45.0,0.0,3.0,linear,21.400
1,45.0,0.0,4.0,linear,23.000
1,45.0,0.0,5.0,linear,24.150
1,45.0,0.0,6.0,linear,25.950
1,45.0,0.0,7.0,linear,27.600
1,45.0,0.0,8.0,linear,29.400
1,45.0,0.0,9.0,linear,31.150
1,48.0,0.0,10.0,linear,33.300
1,48.0,0.0,11.0,linear,37.200
1,48.0,0.0,12.0,linear,42.400
1,48.0,0.0,13.0,linear,51.150
1,48.0,0.0,14.0,linear,73.850
1,48.0,0.0,15.0,linear,NAN
1,48.0,0.0,16.0,linear,NAN
1,48.0,0.0,2.0,linear,19.700
1,48.0,0.0,3.0,linear,21.400
1,48.0,0.0,4.0,linear,22.450
1,48.0,0.0,5.0,linear,24.100
1,48.0,0.0,6.0,linear,25.250
1,48.0,0.0,7.0,linear,26.950
1,48.0,0.0,8.0,linear,28.750
1,48.0,0.0,9.0,linear,30.850
1,51.0,0.0,10.0,linear,32.400
1,51.0,0.0,11.0,linear,35.400
1,51.0,0.0,12.0,linear,40.150
1,51.0,0.0,13.0,linear,46.050
1,51.0,0.0,14.0,linear,58.450
1,51.0,0.0,15.0,linear,110.150
1,51.0,0.0,16.0,linear,NAN
1,51.0,0.0,2.0,linear,19.700
1,51.0,0.0,3.0,linear,21.100
1,51.0,0.0,4.0,linear,22.650
1,51.0,0.0,5.0,linear,23.650
1,51.0,0.0,6.0,linear,25.000
1,51.0,0.0,7.0,linear,26.500
1,51.0,0.0,8.0,linear,28.100
1,51.0,0.0,9.0,linear,30.250
1,54.0,0.0,10.0,linear,31.350
1,54.0,0.0,11.0,linear,34.500
1,54.0,0.0,12.0,linear,37.900
1,54.0,0.0,13.0,linear,43.000
1,54.0,0.0,14.0,linear,50.600
1,54.0,0.0,15.0,linear,69.150
1,54.0,0.0,16.0,linear,NAN
1,54.0,0.0,2.0,linear,19.850
1,54.0,0.0,3.0,linear,20.700
1,54.0,0.0,4.0,linear,22.750
1,54.0,0.0,5.0,linear,23.500
1,54.0,0.0,6.0,linear,24.700
1,54.0,0.0,7.0,linear,26.600
1,54.0,0.0,8.0,linear,27.500
1,54.0,0.0,9.0,linear,29.750
1,57.0,0.0,10.0,linear,31.200
1,57.0,0.0,11.0,linear,32.600
1,57.0,0.0,12.0,linear,36.300
1,57.0,0.0,13.0,linear,40.400
1,57.0,0.0,14.0,linear,46.200
1,57.0,0.0,15.0,linear,56.700
1,57.0,0.0,16.0,linear,92.950
1,57.0,0.0,2.0,linear,19.700
1,57.0,0.0,3.0,linear,20.700
1,57.0,0.0,4.0,linear,21.900
1,57.0,0.0,5.0,linear,23.150
1,57.0,0.0,6.0,linear,24.350
1,57.0,0.0,7.0,linear,25.800
1,57.0,0.0,8.0,linear,27.250
1,57.0,0.0,9.0,linear,28.950
1,6.0,0.0,10.0,linear,NAN
1,6.0,0.0,11.0,linear,NAN
1,6.0,0.0,12.0,linear,NAN
1,6.0,0.0,13.0,linear,NAN
1,6.0,0.0,14.0,linear,NAN
1,6.0,0.0,15.0,linear,NAN
1,6.0,0.0,16.0,linear,NAN
1,6.0,0.0,2.0,linear,27.950
1,6.0,0.0,3.0,linear,35.100
1,6.0,0.0,4.0,linear,59.650
1,6.0,0.0,5.0,linear,NAN
1,6.0,0.0,6.0,linear,NAN
1,6.0,0.0,7.0,linear,NAN
1,6.0,0.0,8.0,linear,NAN
1,6.0,0.0,9.0,linear,NAN
1,60.0,0.0,10.0,linear,30.200
1,60.0,0.0,11.0,linear,32.700
1,60.0,0.0,12.0,linear,35.550
1,60.0,0.0,13.0,linear,39.000
1,60.0,0.0,14.0,linear,43.900
1,60.0,0.0,15.0,linear,50.200
1,60.0,0.0,16.0,linear,67.200
1,60.0,0.0,2.0,linear,19.300
1,60.0,0.0,3.0,linear,20.400
1,60.0,0.0,4.0,linear,22.400
1,60.0,0.0,5.0,linear,23.400
1,60.0,0.0,6.0,linear,24.250
1,60.0,0.0,7.0,linear,25.900
1,60.0,0.0,8.0,linear,26.700
1,60.0,0.0,9.0,linear,28.650
1,9.0,0.0,10.0,linear,NAN
1,9.0,0.0,11.0,linear,NAN
1,9.0,0.0,12.0,linear,NAN
1,9.0,0.0,13.0,linear,NAN
1,9.0,0.0,14.0,linear,NAN
1,9.0,0.0,15.0,linear,NAN
1,9.0,0.0,16.0,linear,NAN
1,9.0,0.0,2.0,linear,25.200
1,9.0,0.0,3.0,linear,29.550
1,9.0,0.0,4.0,linear,36.500
1,9.0,0.0,5.0,linear,59.050
1,9.0,0.0,6.0,linear,NAN
1,9.0,0.0,7.0,linear,NAN
1,9.0,0.0,8.0,linear,NAN
1,9.0,0.0,9.0,linear,NAN
